day,orders,gross_sales,discounts,returns,net_sales,shipping,taxes,total_sales,average_order_value
9/26/18,55,3387.51,-483.71,-356.43,2547.37,639.11,2.44,3188.92,65.03
9/27/18,34,2900.79,-320.99,-135.46,2444.34,506.67,0,2951.01,91.44
9/28/18,28,1573.29,-131.98,-106.58,1334.73,305.37,7.91,1648.01,63.07
9/29/18,40,2406.76,-230.38,-255.45,1920.93,633.06,0,2553.99,71.9
9/30/18,23,1054.72,-126.13,-65.97,862.62,335.24,0,1197.86,54.94
10/1/18,24,1088.12,-69.01,-297.48,721.63,257.13,-2.25,976.51,55.23
10/2/18,32,1268.52,-91.01,-143.63,1033.88,435.54,0.12,1469.54,51.55
10/3/18,28,1700.17,-92.23,-509.2,1098.74,248.05,1.52,1348.31,68.68
10/4/18,21,1136.38,-75.36,-826.6,234.42,303.37,5.68,543.47,68.25
10/5/18,33,1879.33,-117.84,-177.47,1584.02,465.41,-0.81,2048.62,68.19
10/6/18,32,1794.22,-126.2,-84.84,1583.18,433.24,0.64,2017.06,66.81
10/7/18,27,1518.44,-40.69,-433.19,1044.56,503.83,0,1548.39,73.39
10/8/18,27,947.62,-57.66,-345.82,544.14,416.14,0,960.28,49.96
10/9/18,24,1639.54,-64.94,-15.31,1559.29,362.23,2.12,1923.64,81.2
10/10/18,23,1154.07,-76.53,-276.72,800.82,312.24,0.56,1113.62,61.38
10/11/18,27,1022.59,-46.47,-90.08,886.04,333.63,1.94,1221.61,50.4
10/12/18,24,1097.62,-26.57,-533.04,538.01,292.31,-1.32,829,63.91
10/13/18,21,1113.44,-64.14,0,1049.3,332.16,0,1381.46,65.78
10/14/18,47,3571.42,-482.26,-178.53,2910.63,444.68,0,3355.31,75.43
10/15/18,41,2597.45,-216.79,-176.98,2203.68,381.88,1.43,2586.99,67.41
10/16/18,64,4440.17,-463.29,-21.25,3955.63,784.43,0,4740.06,74.39
10/17/18,37,2207.45,-229.89,-329.17,1648.39,311.48,0,1959.87,63.17
10/18/18,33,2169.58,-201.23,-469.66,1498.69,333.82,0,1832.51,70.21
